tipo;cuenta;gxx;descripcion
ambos;200;200;BIENES DE INVERSION
gasto;600;G01;COMPRAS MERCADERIAS
gasto;601;G01;COMPRAS MATERIAS PRIMAS
gasto;602;G03;COMPRAS OTROS APROVISIONAMIENTOS
gasto;603;G01;COMPRAS REAGYP
gasto;607;G01;TRABAJOS OTRAS EMPRESAS
gasto;620;G22;GASTOS INVESTIGACION DESARROLLO
gasto;621;G12;ARRENDAMIENTOS Y CANONES
gasto;622;G13;REPARACIONES Y CONSERVACION
gasto;623;G19;SERVICIOS PROFESIONALES INDEPENDIENTES
gasto;623;G40;GASTOS DE FORMALIZACION DE CONTRATOS
gasto;623;G41;GASTOS DE DEFENSA JURIDICA
gasto;623;G42;OTRAS CANTIDADES DEVENGADAS POR TERCEROS
gasto;624;G22;TRANSPORTES
gasto;625;G20;PRIMAS DE SEGUROS
gasto;626;G22;SERVICIOS BANCARIOS
gasto;627;G22;PUBLICIDAD Y PROPAGANDA
gasto;628;G14;SUMINISTROS ELECTRICIDAD
gasto;628;G15;SUMINISTROS AGUA
gasto;628;G16;SUMINISTROS GAS
gasto;628;G17;SUMINISTROS TELEFONIA E INTERNET
gasto;628;G18;OTROS SUMINISTROS
gasto;629;G22;OTROS SERVICIOS
gasto;629;G44;GASTOS DE COMUNIDAD
gasto;631;G26;TRIBUTOS NO ESTATALES
gasto;640;G04;SUELDOS Y SALARIOS
gasto;641;G07;INDEMNIZACIONES
gasto;642;G05;SEGURIDAD SOCIAL EMPRESA
gasto;643;G09;APORTACIONES PLAN PENSIONES
gasto;646;G45;SEGURIDAD SOCIAL DEL TITULAR
gasto;646;G46;APORTACIONES A MUTUALIDADES DEL TITULAR
gasto;646;G47;REGULARIZACION RETA (A INGRESAR)
gasto;646;G48;REGULARIZACION RETA (DEVOLUCION)
gasto;647;G08;DIETAS Y VIAJES EMPLEADOS
gasto;648;G11;GASTOS DE MANUTENCION
gasto;649;G10;OTROS GASTOS SOCIALES
gasto;650;G34;PERDIDAS CREDITOS INCOBRABLES
gasto;661;G24;INTERESES OBLIGACIONES Y BONOS
gasto;662;G23;INTERESES DEUDAS LARGO
gasto;663;G23;INTERESES DEUDAS CORTO
gasto;664;G24;INTERESES DTO. EFECTO
gasto;666;G24;PERDIDAS VALORES NEGOCIABLES
gasto;667;G24;PERDIDAS DE CREDITOS
gasto;668;G24;DIFERENCIAS NEGATIVOS CAMBIOS
gasto;669;G24;OTROS GASTOS FINANCIEROS
gasto;678;G35;INCENTIVOS MECENAZGO - CONVENIOS COLABORACION
gasto;678;G36;INCENTIVOS MECENAZGO - GASTOS ACTIVIDADES
gasto;678;G37;OTROS CONCEPTOS FISCALMENTE DEDUCIBLES
gasto;680;G38;AMORTIZACION INMOVILIZADO INMATERIAL
gasto;681;G28;AMORTIZACION INMOVILIZADO MATERIAL
gasto;681;G29;AMORTIZACION DE MAQUINARIA
gasto;681;G30;AMORTIZACION ELEMENTOS TRANSPORTE
gasto;681;G31;AMORTIZACION EQUIPOS INFORMATICOS
gasto;681;G32;AMORTIZACION UTILES Y HERRAMIENTAS
gasto;681;G33;AMORTIZACION GANADO Y CULTIVOS
gasto;682;G27;AMORTIZACION EDIFICIOS
ingreso;700;I01;VENTAS - INGRESOS
ingreso;705;I01;PRESTACION DE SERVICIOS
ingreso;710;I08;INGRESOS AUTOCONSUMO
ingreso;740;I03;SUBVENCIONES OFICIALES RENTA
ingreso;741;I03;OTRAS SUBVENCIONES RENTA
ingreso;746;I04;SUBVENCIONES CAPITAL
ingreso;750;I07;OTROS INGRESOS
ingreso;760;I02;INGRESOS FINANCIEROS
ingreso;770;I09;TRANSM. ELEM. PATRIMON. - EXCESO AMORTIZ. DEDUCIDA
